patient_id,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,gender,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000428,UO-31,UO31,UO31_KIDNEY,,905981.0,Unknown,Academic lab,,,,,,CVCL_1911,1636.0,kidney,,Kidney Cancer,Renal Cell Carcinoma,,SIDM00112,,kidney,renal_cell_carcinoma,,
ACH-000429,A-704,A704,A704_KIDNEY,,910920.0,Male,ATCC,,,,,,CVCL_1065,949.0,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,78,SIDM00849,,kidney,renal_cell_carcinoma,,
ACH-000430,TYK-nu,TYKNU,TYKNU_OVARY,,909774.0,Female,HSRRB,,,,,,CVCL_1776,476.0,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00321,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000431,NCI-H1694,NCIH1694,NCIH1694_LUNG,,688006.0,Male,ATCC,2.0,-4.205856082293219,Suspension,F10,83.0,CVCL_1489,451.0,ascites,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),61,SIDM00741,,lung,SCLC,,
ACH-000432,BV-173,BV173,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910710.0,Male,DSMZ,,,,,,CVCL_0181,321.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",45,SIDM00962,,blood,CML,blast_crisis,
ACH-000433,Caki-1,CAKI1,CAKI1_KIDNEY,,905963.0,Male,ATCC,2.0,-2.7199816100486824,Adherent,McCoy's 5A + 10% FBS,50.5,CVCL_0234,289.0,skin,Metastasis,Kidney Cancer,"Renal Carcinoma, clear cell",49,SIDM00941,,kidney,renal_cell_carcinoma,clear_cell,
ACH-000434,NCI-H1915,NCIH1915,NCIH1915_LUNG,,1240184.0,Female,ATCC,2.0,-3.372263341910447,Adherent,RPMI + 10% FBS,85.6,CVCL_1505,1823.0,central_nervous_system,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",61,SIDM00763,,lung,NSCLC,NSCLC_large_cell,
ACH-000435,EFE-184,EFE184,EFE184_ENDOMETRIUM,,,Female,DSMZ,1.0,-1.4857531718439372,,RPMI + 10% FBS,82.2,CVCL_1191,,ascites,Metastasis,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,69,,,uterus,endometrial_adenocarcinoma,,
ACH-000436,OCI-My7,OCIMY7,OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-MY7,,Unknown,Academic lab,2.0,-2.7401781873070568,Suspension,RPMI; 10% FBS,82.5,CVCL_E333,,haematopoietic_and_lymphoid_tissue,,Myeloma,Multiple Myeloma,,,,plasma_cell,multiple_myeloma,,
ACH-000437,SW 1088,SW1088,SW1088_CENTRAL_NERVOUS_SYSTEM,,909745.0,Male,ATCC,2.0,-4.835653940244032,Adherent,RPMI + 10% FBS,75.1,CVCL_1715,1310.0,central_nervous_system,Primary,Brain Cancer,Astrocytoma,72,SIDM01155,,central_nervous_system,glioma,astrocytoma,
ACH-000438,,LU65,LU65_LUNG,,724863.0,Male,JCRB,2.0,-3.518670321281186,,RPMI + 20% FBS,89.0,CVCL_1392,47.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",64,SIDM00547,,lung,NSCLC,NSCLC_large_cell,
ACH-000439,ME-1,ME1,ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330942.0,Male,DSMZ,,,,,,CVCL_2110,427.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",40,SIDM00338,,blood,AML,M4,
ACH-000440,CA46,CA46,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910703.0,Male,ATCC,,,,,,CVCL_1101,1190.0,ascites,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",,SIDM00907,,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,
ACH-000441,SH-4,SH4,SH4_SKIN,,909713.0,Female,ATCC,2.0,-4.099075423998839,Mixed adherent and suspension,DMEM + 10% FBS,47.4,CVCL_1692,1179.0,pleural_effusion,Metastasis,Skin Cancer,Melanoma,60,SIDM01079,,skin,melanoma,,
ACH-000442,RERF-LC-Sq1,RERFLCSQ1,RERFLCSQ1_LUNG,,1298538.0,Female,HSRRB,,,,,,CVCL_1656,449.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",74,SIDM00354,,lung,NSCLC,NSCLC_squamous,
ACH-000443,OVKATE,OVKATE,OVKATE_OVARY,,1240199.0,Female,HSRRB,,,,,,CVCL_3110,1094.0,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",40,SIDM00466,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000444,LU99,LU99,LU99_LUNG,,,Male,HSRRB,2.0,-4.453208327929928,Adherent,RPMI + 10% FBS,57.0,CVCL_3015,,pleura,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",63,SIDM00546,,lung,NSCLC,NSCLC_large_cell,
ACH-000445,KNS-60,KNS60,KNS60_CENTRAL_NERVOUS_SYSTEM,,,Male,HSRRB,1.0,-3.7245181512377017,,DMEM + 5% FBS,71.2,CVCL_2798,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,55,,,central_nervous_system,glioma,glioblastoma,
ACH-000446,KP-N-SI9s,KPNSI9S,KPNSI9S_AUTONOMIC_GANGLIA,,,Male,HSRRB,0.0,-1.0275958664608444,Adherent,RPMI + 10% FBS,54.0,CVCL_1340,,autonomic_ganglia,Metastasis,Neuroblastoma,,,,,peripheral_nervous_system,neuroblastoma,,
ACH-000447,NCI-H2228,NCIH2228,NCIH2228_LUNG,,687816.0,Female,ATCC,,,,,,CVCL_1543,1812.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00729,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000448,NCI-H1666,NCIH1666,NCIH1666_LUNG,,908473.0,Female,ATCC,2.0,-4.019191491995779,Adherent,ACL4,94.2,CVCL_1485,958.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",50,SIDM00743,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000449,MES-SA,MESSA,MESSA_SOFT_TISSUE,,908127.0,Female,ATCC,,,,,,CVCL_1404,1395.0,endometrium,Primary,Sarcoma,Uterine Sarcoma,56,SIDM00625,,soft_tissue,uterine_sarcoma,,
ACH-000450,MEL-HO,MELHO,MELHO_SKIN,,908124.0,Female,DSMZ,2.0,-3.0037105787944296,Adherent,RPMI + 10% FBS,58.6,CVCL_1402,2109.0,skin,Primary,Skin Cancer,Melanoma,,SIDM00337,,skin,melanoma,,
ACH-000451,NCI-H2085,NCIH2085,NCIH2085_LUNG,,687812.0,Male,ATCC,,,,,,CVCL_1523,80.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",45,SIDM00709,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000452,TE-8,TE8,TE8_OESOPHAGUS,,753623.0,Male,RIKEN,2.0,-5.568964952560902,,RPMI + 10% FBS,71.5,CVCL_1766,2253.0,oesophagus,,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00326,,esophagus,esophagus_squamous,,
ACH-000453,MOLP-2,MOLP2,MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_2123,,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,55,,,plasma_cell,multiple_myeloma,,
ACH-000454,HCC-95,HCC95,HCC95_LUNG,,,Male,KCLB,2.0,-2.985345452668404,,RPMI + 10% FBS + 2 mM Glutamine,86.7,CVCL_5137,,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",65,,,lung,NSCLC,NSCLC_squamous,
ACH-000455,LN-428,LN428,LN428_CENTRAL_NERVOUS_SYSTEM,,,Male,Academic lab,2.0,-5.887735858495444,not found,not found,86.4,CVCL_3959,,central_nervous_system,,Brain Cancer,Glioblastoma,,,,central_nervous_system,glioma,glioblastoma,
ACH-000456,B-CPAP,BCPAP,BCPAP_THYROID,,924104.0,Female,DSMZ,2.0,-5.127659824857898,Adherent,RPMI + 10% heat inactivated FBS,92.0,CVCL_0153,346.0,thyroid,Primary,Thyroid Cancer,"Carcinoma, papillary",76,SIDM00992,,thyroid,thyroid_carcinoma,papillary,
ACH-000457,CAL-54,CAL54,CAL54_KIDNEY,,910952.0,Male,DSMZ,,,,,,CVCL_1111,482.0,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,75,SIDM00932,,kidney,renal_cell_carcinoma,,
ACH-000458,CJM,CJM,CJM_SKIN,,,Unknown,RIKEN,2.0,-3.7569529181865775,,F12 + 10% FBS,89.3,CVCL_U797,,skin,Metastasis,Skin Cancer,Melanoma,,,,skin,melanoma,,
ACH-000459,TUHR10TKB,TUHR10TKB,TUHR10TKB_KIDNEY,,,Male,RIKEN,2.0,-1.6091191780200806,,RPMI + 10% FBS,45.2,CVCL_5952,,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,69,,,kidney,renal_cell_carcinoma,,
ACH-000460,SNU-8,SNU8,SNU8_OVARY,,,Female,KCLB,3.0,-4.705033714346709,Adherent,RPMI + 10% FBS,86.9,CVCL_5096,,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",55,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000461,SNU-1196,SNU1196,SNU1196_BILIARY_TRACT,,,Unknown,KCLB,1.0,-3.4507861570239435,,RPMI + 10% heat inactivated FBS + 300mg/L L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,82.9,CVCL_5015,,biliary_tract,,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",,SIDM00163,,bile_duct,cholangiocarcinoma,extrahepatic,
ACH-000462,NALM-1,NALM1,NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Female,DSMZ,,,,,,CVCL_0091,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",3,,,blood,CML,blast_crisis,
ACH-000463,NCI-H460,NCIH460,NCIH460_LUNG,,905943.0,Male,ATCC,2.0,-3.1795897259100934,Adherent,RPMI + 10% FBS,83.1,CVCL_0459,2146.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",,SIDM00144,,lung,NSCLC,NSCLC_large_cell,
ACH-000464,CAS-1,CAS1,CAS1_CENTRAL_NERVOUS_SYSTEM,,910943.0,Male,ICLC,2.0,-3.5123925270617864,Adherent,DMEM + 10% FBS,57.1,CVCL_1117,604.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,63,SIDM00212,,central_nervous_system,glioma,glioblastoma,
ACH-000465,SK-MEL-1,SKMEL1,SKMEL1_SKIN,,909723.0,Male,ATCC,,,,,,CVCL_0068,42.0,haematopoietic_and_lymphoid_tissue,Metastasis,Skin Cancer,Melanoma,29,SIDM01107,,skin,melanoma,,
ACH-000466,SNU-216,SNU216,SNU216_STOMACH,,,Female,KCLB,2.0,-2.669209864055948,,RPMI + 10% FBS,73.3,CVCL_3946,,lymph_node,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",46,,,gastric,gastric_adenocarcinoma,tubular,
ACH-000467,HCC-56,HCC56,HCC56_LARGE_INTESTINE,,1290907.0,Unknown,HSRRB,3.0,-3.819318670950505,,EMEM + 10% FBS,71.9,CVCL_2917,1036.0,large_intestine,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00597,,colorectal,colorectal_adenocarcinoma,,
ACH-000468,PK-45H,PK45H,PK45H_PANCREAS,,,Unknown,RIKEN,3.0,-3.5178666529166898,Adherent,RPMI + 10% FBS,84.1,CVCL_6748,,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000469,YH-13,YH13,YH13_CENTRAL_NERVOUS_SYSTEM,,909905.0,Male,HSRRB,2.0,-4.80246423033844,Adherent,EMEM + 20% FBS,51.8,CVCL_1795,468.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,40,SIDM00316,,central_nervous_system,glioma,glioblastoma,
ACH-000470,SW1463,SW1463,SW1463_LARGE_INTESTINE,,909748.0,Female,ATCC,3.0,-3.520140216786892,Adherent,RPMI + 10% FBS,78.6,CVCL_1718,271.0,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,66,SIDM00834,,colorectal,colorectal_adenocarcinoma,,
ACH-000471,Li-7,LI7,LI7_LIVER,,,Male,RIKEN,2.0,-5.531055568486062,,RPMI + 10% FBS,93.1,CVCL_3840,,liver,,Liver Cancer,,45,,,liver,,,
ACH-000472,HSC-2,HSC2,HSC2_UPPER_AERODIGESTIVE_TRACT,,753562.0,Male,HSRRB,2.0,-5.3807840037336,,EMEM + 10% FBS,82.9,CVCL_1287,944.0,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,69,SIDM00590,,upper_aerodigestive,upper_aerodigestive_squamous,,
ACH-000473,RT-112,RT112,RT112_URINARY_TRACT,,909704.0,Female,DSMZ,2.0,-3.0251763405028407,Adherent,RPMI + 10% FBS,67.8,CVCL_1670,25.0,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,,SIDM00402,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,
ACH-000474,NCI-H292,MERGEDTOACH001075NCIH292,[MERGED_TO_ACH-001075]NCIH292_LUNG,,753604.0,Female,ATCC,,,,,,,935.0,lung,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Mucoepidermoid Carcinoma",32,,,lung,NSCLC,NSCLC_mucoepidermoid,
ACH-000475,huH-1,HUH1,HUH1_LIVER,,1298146.0,Male,HSRRB,2.0,-5.58088767994163,Adherent,DMEM + 10% FBS,96.1,CVCL_2956,1855.0,liver,Primary,Liver Cancer,"Hepatocellular Carcinoma, HBs-antigen carrier",53,SIDM00586,,liver,hepatocellular_carcinoma,hbs_antigen_carrier,
ACH-000476,JHH-4,JHH4,JHH4_LIVER,,1240158.0,Male,HSRRB,2.0,-3.609189374825576,,EMEM + 10% FBS,54.4,CVCL_2787,931.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,51,SIDM00616,,liver,hepatocellular_carcinoma,,
ACH-000477,Malme-3M,MALME3M,MALME3M_SKIN,,,Male,ATCC,2.0,-3.533078117867093,Mixed adherent and suspension,RPMI + 10% FBS,46.6,CVCL_1438,,lung,Metastasis,Skin Cancer,Melanoma,43,SIDM00011,,skin,melanoma,,
ACH-000478,SNU-387,SNU387,SNU387_LIVER,,909736.0,Female,ATCC,2.0,-3.966620239707281,Adherent,RPMI + 10% FBS,94.0,CVCL_0250,1482.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,41,SIDM01180,,liver,hepatocellular_carcinoma,,
ACH-000479,KNS-81,KNS81,KNS81_CENTRAL_NERVOUS_SYSTEM,,,Male,HSRRB,0.0,-1.8542348350823887,,DMEM + 5% FBS,40.0,CVCL_2799,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,65,SIDM00605,,central_nervous_system,glioma,glioblastoma,
ACH-000480,HuH-7,HUH7,HUH7_LIVER,,907071.0,Male,HSRRB,2.0,-3.8684644048047527,,DMEM + 10% FBS,52.1,CVCL_0336,2195.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,57,SIDM00585,,liver,hepatocellular_carcinoma,,
ACH-000481,NCI-H2170,NCIH2170,NCIH2170_LUNG,,687815.0,Male,ATCC,3.0,-3.466151448618413,Mixed adherent and suspension,RPMI + 10% FBS,85.6,CVCL_1535,1811.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM00716,,lung,NSCLC,NSCLC_squamous,
ACH-000482,RERF-LC-KJ,RERFLCKJ,RERFLCKJ_LUNG,,1298537.0,Male,HSRRB,,,,,,CVCL_1654,960.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",78,SIDM00356,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000483,SNU-182,SNU182,SNU182_LIVER,,1240216.0,Male,ATCC,2.0,-3.714549342709644,Adherent,RPMI + 10% FBS,63.4,CVCL_0090,1481.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,24,SIDM01151,,liver,hepatocellular_carcinoma,,
ACH-000484,VMRC-RCW,VMRCRCW,VMRCRCW_KIDNEY,,1240224.0,Male,RIKEN,1.0,-3.2887484188312586,Adherent,EMEM + 10% FBS,91.3,CVCL_1790,1459.0,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,SIDM00318,,kidney,renal_cell_carcinoma,,
ACH-000485,GSU,GSU,GSU_STOMACH,,,Male,RIKEN,2.0,-3.373235935142112,,RPMI + 10% FBS,84.7,CVCL_8877,,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,37,,,gastric,gastric_adenocarcinoma,,
ACH-000486,KU-19-19,KU1919,KU1919_URINARY_TRACT,,907312.0,Male,DSMZ,2.0,-4.256240039480703,Adherent,RPMI + 10% heat inactivated FBS,66.7,CVCL_1344,892.0,urinary_tract,,Bladder Cancer,Transitional Cell Carcinoma,76,SIDM01033,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,
ACH-000487,F-36P,F36P,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,2.0,-4.318223829863064,Suspension,RPMI + 20% FBS + 10ng/ml GM-CSF,82.3,CVCL_2037,,pleural_effusion,Metastasis,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",68,,,blood,AML,M6,
ACH-000488,TE-11,TE11,TE11_OESOPHAGUS,,946354.0,Male,RIKEN,2.0,-4.859440458222146,,RPMI + 10% FBS,94.9,CVCL_1761,2073.0,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,58,SIDM00348,,esophagus,esophagus_squamous,,
ACH-000489,SW1116,SW1116,SW1116_LARGE_INTESTINE,,909746.0,Male,ATCC,1.0,-5.513772732417867,Adherent,RPMI + 10% FBS,67.0,CVCL_0544,480.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,73,SIDM00835,,colorectal,colorectal_adenocarcinoma,,
ACH-000490,SF767,SF767,SF767_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,2.0,-5.096891032899893,not found,not found,91.8,CVCL_6950,,stomach,Metastasis,Brain Cancer,Astrocytoma,,SIDM00626,,central_nervous_system,glioma,astrocytoma,
ACH-000491,NCI-H716,NCIH716,NCIH716_LARGE_INTESTINE,,908458.0,Male,ATCC,3.0,-2.708090972649478,Adherent,RPMI + 10% FBS,92.0,CVCL_1581,649.0,ascites,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,33,SIDM00779,,colorectal,colorectal_adenocarcinoma,,
ACH-000492,MUTZ-5,MUTZ5,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,,,,,,CVCL_1873,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",26,,,blood,ALL,b_cell,
ACH-000493,SNU-423,SNU423,SNU423_LIVER,,909737.0,Male,ATCC,1.0,-3.240855014440946,Adherent,RPMI + 10% FBS,83.3,CVCL_0366,481.0,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,40,SIDM01199,,liver,hepatocellular_carcinoma,,
ACH-000494,OELE,OELE,OELE_OVARY,OEL(E),,Unknown,Academic lab,,,,,,CVCL_IW56,,ovary,,Engineered,,,,,engineered_ovary,,,
ACH-000495,TUHR4TKB,TUHR4TKB,TUHR4TKB_KIDNEY,,,Male,RIKEN,1.0,-3.398401851656375,Adherent,DMEM + 10% FBS,77.2,CVCL_5957,,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,60,,,kidney,renal_cell_carcinoma,,
ACH-000496,NCI-H1792,NCIH1792,NCIH1792_LUNG,,724868.0,Male,ATCC,4.0,-4.267453233975626,Adherent,RPMI + 10% FBS,85.7,CVCL_1495,2122.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",50,SIDM00771,,lung,NSCLC,NSCLC_adenocarcinoma,
ACH-000498,KO52,KO52,KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330932.0,Male,HSRRB,1.0,-1.051070158085126,Suspension,AlphaMEM + 10% heat inactivated FBS,99.6,CVCL_1321,1325.0,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",46,SIDM00018,,blood,AML,M2,
ACH-000499,EW8,EW8,EW8_BONE,,,Male,Academic lab,2.0,-2.872731123583889,not found,not found,56.8,CVCL_V618,,bone,,Bone Cancer,Ewings Sarcoma,,,,bone,Ewing_sarcoma,,EWS_FLI
ACH-000500,SNU-46,SNU46,SNU46_UPPER_AERODIGESTIVE_TRACT,,,Male,KCLB,2.0,-1.407974279735141,,RPMI + 10% heat inactivated FBS + 300mg/l L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,50.3,CVCL_5063,,upper_aerodigestive_tract,,Head and Neck Cancer,"Squamous Cell Carcinoma, laryngeal",66,,,upper_aerodigestive,upper_aerodigestive_squamous,laryngeal,
ACH-000501,LS123,LS123,LS123_LARGE_INTESTINE,,907792.0,Female,ATCC,,,,,,CVCL_1383,2266.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,65,SIDM00776,,colorectal,colorectal_adenocarcinoma,,
ACH-000502,TCC-PAN2,TCCPAN2,TCCPAN2_PANCREAS,,,Female,HSRRB,3.0,-4.733009900049842,Adherent,RPMI + 10% FBS,83.7,CVCL_3178,,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",68,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000503,BICR 16,BICR16,BICR16_UPPER_AERODIGESTIVE_TRACT,,,Male,ECACC,2.0,-2.4568331663428267,Adherent,DMEM + 10% FBS + 2mM Glutamine,73.7,CVCL_2308,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,
ACH-000504,SNB75,SNB75,SNB75_CENTRAL_NERVOUS_SYSTEM,,905982.0,Female,Academic lab,2.0,-3.758656498681649,Adherent,RPMI + 5% FBS,67.7,CVCL_1706,1181.0,central_nervous_system,Primary,Brain Cancer,Glioma,,SIDM00095,,central_nervous_system,glioma,,
ACH-000505,RKN,RKN,RKN_SOFT_TISSUE,,1298539.0,Female,HSRRB,2.0,-5.017837643307646,,F12 + 10% FBS,82.2,CVCL_3156,1471.0,ovary,Primary,Sarcoma,Leiomyosarcoma,45,SIDM00353,,soft_tissue,leiomyosarcoma,,
ACH-000506,NCI-H146,NCIH146,NCIH146_LUNG,,910899.0,Male,ATCC,,,,,,CVCL_1473,932.0,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),59,SIDM00698,,lung,SCLC,,
ACH-000507,KE-39,KE39,KE39_STOMACH,,,Male,RIKEN,2.0,-4.1840250815144175,Adherent,RPMI + 10% FBS,70.0,CVCL_3385,,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,77,,,gastric,gastric_adenocarcinoma,,
ACH-000508,COR-L88,CORL88,CORL88_LUNG,,906808.0,Male,ECACC,,,,,,CVCL_1141,774.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),55,SIDM00506,,lung,SCLC,,
ACH-000509,HuT 78,HUT78,HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,ATCC,,,,,,CVCL_0337,,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",53,SIDM00851,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,
ACH-000510,NCI-H1299,NCIH1299,NCIH1299_LUNG,,724831.0,Male,ATCC,2.0,-5.207314736675849,Adherent,RPMI + 10% FBS,64.8,CVCL_0060,1235.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",43,SIDM00649,,lung,NSCLC,NSCLC_large_cell,
ACH-000511,Calu-1,CALU1,CALU1_LUNG,,,Male,ATCC,2.0,-4.923114127472373,Adherent,McCoy's 5A + 10% FBS,78.7,CVCL_0608,,pleura,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",47,,,lung,NSCLC,NSCLC_squamous,
ACH-000512,,INA6,INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,INA-6,,Male,Academic lab,1.0,-2.184557363596577,not found,not found,98.5,CVCL_5209,,pleural_effusion,,Myeloma,Multiple Myeloma,,,,plasma_cell,multiple_myeloma,,
ACH-000513,SNU-1272,SNU1272,SNU1272_KIDNEY,,,Female,KCLB,,,,,,CVCL_8788,,kidney,,Kidney Cancer,"Renal Carcinoma, clear cell",63,,,kidney,renal_cell_carcinoma,clear_cell,
ACH-000514,NCI-H1092,NCIH1092,NCIH1092_LUNG,,687997.0,Male,ATCC,2.0,-3.529716272034742,Suspension,RPMI + 5% FBS + 2mM L-glutamine + 5ml Insulin-Transferrin-Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,68.7,CVCL_1454,1928.0,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),67,SIDM00653,,lung,SCLC,,
ACH-000515,HCC-33,HCC33,HCC33_LUNG,,1303901.0,Male,DSMZ,,,,,,CVCL_2058,353.0,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),52,SIDM01071,,lung,SCLC,,
ACH-000516,CAL-78,CAL78,CAL78_BONE,,1290765.0,Male,DSMZ,2.0,-5.566369509722167,Adherent,RPMI + 20% FBS,66.6,CVCL_1809,1148.0,soft_tissue,,Bone Cancer,Chondrosarcoma,76,SIDM00929,,bone,chondrosarcoma,,
ACH-000517,SNU-410,SNU410,SNU410_PANCREAS,,,Male,KCLB,3.0,-5.734031403761982,,RPMI + 10% FBS,81.4,CVCL_5059,,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",53,,,pancreas,exocrine,exocrine_adenocarcinoma,
ACH-000518,CAL-33,CAL33,CAL33_UPPER_AERODIGESTIVE_TRACT,,753541.0,Male,DSMZ,2.0,-3.465460064422276,Adherent,DMEM + 10% FBS + 2 mM L-glutamine,85.7,CVCL_1108,2041.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",69,SIDM00942,,upper_aerodigestive,upper_aerodigestive_squamous,oral,
